c
,Name,Description,Price,Category,Tags,Available,Vegetarian,ImageUrl,spiceLevel,pieces
,Pani Puri,"Crispy puris filled with spicy, tangy water and chutneys along with dry puris",60,food,"Crunchy,Tangy,Spicy,Sharable,Popular,Vegetarian",TRUE,,,,1
,Dahi Puri,"Crispy puris stuffed with yogurt, chutneys, and a burst of flavors.",75,food,"Crispy,Flavorful,Vegetarian",TRUE,,,,
,Chole Samosa,"Flaky samosas topped with spicy chicken peas Curry garnished with chutneys, and crunchy sev/onion.",75,food,"Spicy,Flaky,Vegetarian",TRUE,,,,
,Dahi Samosa,"Flaky samosas topped with creamy yogurt garnished with chutneys, and crunchy sev/onion.",75,food,"Creamy,Flaky,Vegetarian",TRUE,,,,
,Dahi Vada,Soft lentil dumplings soaked in spiced yogurt and chutneys.,60,food,"Soft,Spiced,Vegetarian",TRUE,,,,
,Aloo Tikki Chaat,"Crispy potato patties topped with chutneys, yogurt, and spices.",50,food,"Crispy,Spicy,Vegetarian",TRUE,,,,
,Raj Kachori,"Giant crunchy chaat filled with yogurt, chutneys, and sev.",80,food,"Crunchy,Giant,Vegetarian",TRUE,,,,
,Mumbai Chowpatty Bhel,"Crunchy, tangy mix of puffed rice, chutneys, and spices.",60,food,"Crunchy,Tangy,Spicy,Vegetarian",TRUE,,,,
,Pav Bhaji,Buttery toasted buns with spicy mashed vegetable curry and butter.,120,food,"Buttery,Spicy,Vegetarian,Popular",TRUE,,,,
,Chole Bhaturey,Fluffy deep-fried bread served with spiced chickpea curry.,120,food,"Fluffy,Spiced,Vegetarian,Popular",TRUE,,,,
,Daal Baati Churma,Baked wheat balls served with hearty lentil curry and sweet crumbled wheat with ghee,120,food,"Baked,Hearty,Sweet,Vegetarian",TRUE,,,,
,Onion Bhajiya,"Crispy, golden-fried onion fritters with a spicy, flavorful crunch.",50,food,"Crispy,Spicy,Vegetarian",TRUE,,,,
,Vegetable Pakoda,"Crunchy, spiced vegetable fritters, deep-fried to crispy perfection.",50,food,"Crunchy,Spiced,Vegetarian",TRUE,,,,
,Paneer Pakoda,"Crispy, golden batter-fried paneer with a soft, cheesy center.",130,food,"Crispy,Cheesy,Vegetarian",TRUE,,,,
,Chicken Pakoda,"Juicy, spiced chicken fritters with a crispy, golden crust.",140,food,"Juicy,Spiced,Non-Vegetarian",TRUE,,,,
,Punjabi Samosa,"Golden, flaky pastry stuffed with spicy mashed potatoes and peas.",30,food,"Golden,Flaky,Spicy,Vegetarian",TRUE,,,,
,Chicken Samosa,"Crispy, golden samosa filled with spicy, flavorful minced chicken.",40,food,"Crispy,Spicy,Non-Vegetarian",TRUE,,,,
,Veg Spring Roll,"Crispy, golden rolls packed with spiced vegetables and noodles.",40,food,"Crispy,Spiced,Vegetarian",TRUE,,,,
,Chicken Spring Roll,"Crunchy, flaky rolls filled with spiced chicken and vegetables.",60,food,"Crunchy,Flaky,Non-Vegetarian",TRUE,,,,
,Dhokla,"Soft, spongy, and slightly tangy gram flour cakes, lightly tempered.",60,food,"Soft,Spongy,Tangy,Vegetarian",TRUE,,,,
,Plain Dosa,"Thin, crispy rice crepe served with chutneys and sambhar.",80,food,"Thin,Crispy,Vegetarian",TRUE,,,,
,Masala Dosa,"Crispy dosa stuffed with spiced potato filling, chutneys, and sambhar.",100,food,"Crispy,Spiced,Vegetarian,Popular",TRUE,,,,
,Mysore Masala Dosa,"Spicy, flavorful dosa with a fiery chutney and potato filling.",110,food,"Spicy,Flavorful,Vegetarian",TRUE,,,,
,Idli Vada Sambhar (3PCS),"Soft, fluffy steamed rice cakes served with lentil soup and chutneys.",80,food,"Soft,Fluffy,Vegetarian,Popular",TRUE,,,,
,Onion Uttapam (2PCS),"Thick, savory pancake topped with caramelized onions and spices.",80,food,"Thick,Savory,Vegetarian",TRUE,,,,
