name,price,category_id,restaurant_id,description,image_url,available,featured,tags,spice_level,pieces_count,preparation_time,is_vegetarian,is_vegan,is_gluten_free,dynamic_pricing,packaging_price,listing_preference
Pani Puri,60,,,"Crispy puris filled with spicy, tangy water and chutneys along with dry puris",,TRUE,FALSE,"Crunchy,Tangy,Spicy,Sharable,Popular,Vegetarian",,,,TRUE,FALSE,,,,
Dahi Puri,75,,,"Crispy puris stuffed with yogurt, chutneys, and a burst of flavors.",,TRUE,FALSE,"Crispy,Flavorful,Vegetarian",,,,TRUE,FALSE,,,,
Chole Samosa,75,,,"Flaky samosas topped with spicy chicken peas Curry garnished with chutneys, and crunchy sev/onion.",,TRUE,FALSE,"Spicy,Flaky,Vegetarian",,,,TRUE,FALSE,,,,
Dahi Samosa,75,,,"Flaky samosas topped with creamy yogurt garnished with chutneys, and crunchy sev/onion.",,TRUE,FALSE,"Creamy,Flaky,Vegetarian",,,,TRUE,FALSE,,,,
Dahi Vada,60,,,Soft lentil dumplings soaked in spiced yogurt and chutneys.,,TRUE,FALSE,"Soft,Spiced,Vegetarian",,,,TRUE,FALSE,,,,
Aloo Tikki Chaat,50,,,"Crispy potato patties topped with chutneys, yogurt, and spices.",,TRUE,FALSE,"Crispy,Spicy,Vegetarian",,,,TRUE,FALSE,,,,
Raj Kachori,80,,,"Giant crunchy chaat filled with yogurt, chutneys, and sev.",,TRUE,FALSE,"Crunchy,Giant,Vegetarian",,,,TRUE,FALSE,,,,
Mumbai Chowpatty Bhel,60,,,"Crunchy, tangy mix of puffed rice, chutneys, and spices.",,TRUE,FALSE,"Crunchy,Tangy,Spicy,Vegetarian",,,,TRUE,FALSE,,,,
Pav Bhaji,120,,,Buttery toasted buns with spicy mashed vegetable curry and butter.,,TRUE,FALSE,"Buttery,Spicy,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Chole Bhaturey,120,,,Fluffy deep-fried bread served with spiced chickpea curry.,,TRUE,FALSE,"Fluffy,Spiced,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Daal Baati Churma,120,,,Baked wheat balls served with hearty lentil curry and sweet crumbled wheat with ghee,,TRUE,FALSE,"Baked,Hearty,Sweet,Vegetarian",,,,TRUE,FALSE,,,,
Onion Bhajiya,50,,,"Crispy, golden-fried onion fritters with a spicy, flavorful crunch.",,TRUE,FALSE,"Crispy,Spicy,Vegetarian",,,,TRUE,FALSE,,,,
Vegetable Pakoda,50,,,"Crunchy, spiced vegetable fritters, deep-fried to crispy perfection.",,TRUE,FALSE,"Crunchy,Spiced,Vegetarian",,,,TRUE,FALSE,,,,
Paneer Pakoda,130,,,"Crispy, golden batter-fried paneer with a soft, cheesy center.",,TRUE,FALSE,"Crispy,Cheesy,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Pakoda,140,,,"Juicy, spiced chicken fritters with a crispy, golden crust.",,TRUE,FALSE,"Juicy,Spiced,Non-Vegetarian",,,,TRUE,FALSE,,,,
Punjabi Samosa,30,,,"Golden, flaky pastry stuffed with spicy mashed potatoes and peas.",,TRUE,FALSE,"Golden,Flaky,Spicy,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Samosa,40,,,"Crispy, golden samosa filled with spicy, flavorful minced chicken.",,TRUE,FALSE,"Crispy,Spicy,Non-Vegetarian",,,,TRUE,FALSE,,,,
Veg Spring Roll,40,,,"Crispy, golden rolls packed with spiced vegetables and noodles.",,TRUE,FALSE,"Crispy,Spiced,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Spring Roll,60,,,"Crunchy, flaky rolls filled with spiced chicken and vegetables.",,TRUE,FALSE,"Crunchy,Flaky,Non-Vegetarian",,,,TRUE,FALSE,,,,
Dhokla,60,,,"Soft, spongy, and slightly tangy gram flour cakes, lightly tempered.",,TRUE,FALSE,"Soft,Spongy,Tangy,Vegetarian",,,,TRUE,FALSE,,,,
Plain Dosa,80,,,"Thin, crispy rice crepe served with chutneys and sambhar.",,TRUE,FALSE,"Thin,Crispy,Vegetarian",,,,TRUE,FALSE,,,,
Masala Dosa,100,,,"Crispy dosa stuffed with spiced potato filling, chutneys, and sambhar.",,TRUE,FALSE,"Crispy,Spiced,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Mysore Masala Dosa,110,,,"Spicy, flavorful dosa with a fiery chutney and potato filling.",,TRUE,FALSE,"Spicy,Flavorful,Vegetarian",,,,TRUE,FALSE,,,,
Idli Vada Sambhar (3PCS),80,,,"Soft, fluffy steamed rice cakes served with lentil soup and chutneys.",,TRUE,FALSE,"Soft,Fluffy,Vegetarian,Popular",,,,TRUE,FALSE,,,,
Onion Uttapam (2PCS),80,,,"Thick, savory pancake topped with caramelized onions and spices.",,TRUE,FALSE,"Thick,Savory,Vegetarian",,,,TRUE,FALSE,,,,
Onion Tomato Uttapam (2PCS),80,,,"Soft uttapam topped with juicy tomatoes, onions, and spices.",,TRUE,FALSE,"Soft,Juicy,Vegetarian",,,,TRUE,FALSE,,,,
Cheese Dosa,100,,,"Crispy dosa generously stuffed with gooey, melty spiced cheese.",,TRUE,FALSE,"Crispy,Cheesy,Vegetarian",,,,TRUE,FALSE,,,,
Ghee Roast Dosa,100,,,"Crisp, golden dosa slow-roasted in rich, aromatic ghee.",,TRUE,FALSE,"Crisp,Golden,Vegetarian",,,,TRUE,FALSE,,,,
Set Dosa (2PCS),110,,,"Trio of soft, fluffy dosas served with chutney, sambar.",,TRUE,FALSE,"Soft,Fluffy,Vegetarian",,,,TRUE,FALSE,,,,
Chicken Dosa,110,,,"Crunchy dosa wrapped around juicy, spicy shredded chicken masala.",,TRUE,FALSE,"Crunchy,Spicy,Non-Vegetarian",,,,TRUE,FALSE,,,,
Egg Dosa,100,,,"Hot dosa layered with egg, herbs, and mild spices.",,TRUE,FALSE,"Hot,Spiced,Non-Vegetarian",,,,TRUE,FALSE,,,,
Paratha,80,,,"Soft, flaky flatbread perfect with pickle, butter, or curry.",,TRUE,FALSE,"Soft,Flaky,Vegetarian",,,,TRUE,FALSE,,,,
Chur Chur Chicken Paneer Paratha,150,,,"Crushed paratha stuffed with spicy chicken, paneer, and herbs.",,TRUE,FALSE,"Spicy,Crushed,Non-Vegetarian",,,,TRUE,FALSE,,,,
Bread & Omlet,80,,,Classic street-style breakfast: masala omelette with buttered bread slices.,,TRUE,FALSE,"Classic,Spiced,Non-Vegetarian",,,,TRUE,FALSE,,,,
